sku,descripcion,unidades_bulto,bultos_pallet,lista,precio_base_bulto,p_final_bulto,final_actual_bulto,final_actual_unidad,evidencia
544,CHAPADUR (SUR),1,200,5,6615.65,8004.937,8203.407,8203.407,Regla extrapolada
591,MIRINDA MANZANA * X8 PET2250,8,60,5,14738.66,18606.279,19048.439,2381.054875,SKU de muestra
627,MIRINDA NARANJA * X8 PET2250,8,60,5,14738.66,18606.279,19048.439,2381.054875,Regla extrapolada
1321,PALETA NO CHEP,1,1,5,29950.72,36240.371,37138.893,37138.893,Regla extrapolada
1413,GATORADE NARANJA * X6 PET 500,6,315,5,10154.15,12286.522,12591.147,2098.5245,Regla extrapolada
1416,GATORADE MANZANA * X6 PET 500,6,315,5,10154.15,12286.522,12591.147,2098.5245,SKU de muestra
1418,GATORADE COOLBLU * X6 PET 500,6,315,5,10154.15,12286.522,12591.147,2098.5245,Regla extrapolada
1422,GATORADE UVA * X6 PET 500,6,315,5,10154.15,12286.522,12591.147,2098.5245,Regla extrapolada
1659,H2OH CITRUS  X8 PET2250,8,60,5,22063.34,26696.641,27358.541,3419.817625,Regla extrapolada
1808,FRAPERA ANDES REFERENTE,1,1,0,0,0,,,Regla extrapolada
2152,BOT 1/2 ECO 20,20,70,0,0,0,,,Regla extrapolada
2153,Q ECO X 20,1,70,0,0,0,,,Regla extrapolada
2218,QUILMES - 4X6 LAT 473,24,100,5,35556.58,47339.222,48405.919,2016.9132916666667,SKU de muestra
2428,ECO ANDES AGUAC/G * X6 PET1500#,6,140,5,9464.9,11718.059,12002.006,2000.3343333333332,Regla extrapolada
2439,ECO ANDES AGUAS/G * X6 PET1500#,6,140,5,9287.73,11497.343,11775.975,1962.6625000000001,Regla extrapolada
2704,BOT 2/3 AMBAR12,12,70,5,1751.8,2339.058,2391.612,199.30100000000002,Regla extrapolada
2705,BOTSA 975VX12,12,50,5,11446.65,15283.917,15627.317,1302.2764166666666,Regla extrapolada
2706,Q  SA 985VX01QS,1,50,5,22915.99,27728.348,28415.828,28415.828,Regla extrapolada
2730,Q PLAS 1/3,1,70,5,13072.53,15817.761,16209.937,16209.937,Regla extrapolada
2731,Q CERVEZAS 1/1,1,50,5,22915.99,27728.348,28415.828,28415.828,Regla extrapolada
2732,Q 2/3 12,1,70,5,5554.98,6721.526,6888.175,6888.175,Regla extrapolada
2739,PALETA QUILMES RETORNABLE,1,1,5,29950.72,36240.371,37138.893,37138.893,Regla extrapolada
2754,ENV BARR 20L,1,18,5,185900,248219.4,253796.4,253796.4,Regla extrapolada
2755,ENV BARR 50L VACIO,1,12,5,185900,248219.4,253796.4,253796.4,Regla extrapolada
2756,ENV BARR 30L VACIO,1,24,5,185900,248219.4,253796.4,253796.4,Regla extrapolada
