sucursal,sku,descripcion,unidades_bulto,vencimiento,estado,stock_lote_bultos,orden_lote,dias_bloqueo
Trelew,30793,PEPSI BLACK CAN 4X6 354CC 2024,24,2026-10-07,ACCIONAR,87.5833333333,1,17
Trelew,32642,PATAGONIA IPA OW X6 730CC TERMO,6,2026-10-10,ACCIONAR,735,1,20
Trelew,44489,STELLA ARTOIS 0.0 SY CAN 4X6 473CC CART,24,2026-10-12,ACCIONAR,177.75,1,22
Trelew,8067,H2OH LIMONETO  X8 PET2250,8,2026-10-14,ACCIONAR,32.875,1,24
Trelew,31601,H2OH STILL LIMON PET X8 2000CC,8,2026-10-15,ACCIONAR,48,1,25
Trelew,31206,ANDES ORIGEN RUBIA 2.0 CAN 4X4 710CC,16,2026-10-25,ACCIONAR,401.8125,1,35
Trelew,24118,ROCKSTAR OW BOT X6 500CC,6,2026-10-31,ACCIONAR,386,1,41
Trelew,29649,STELLA ARTOIS CAN 4X4 710CC,16,2026-11-02,ACCIONAR,270,2,43
Trelew,31074,PDT POMELO CAN 4X6 269CC 169 BULTOS,24,2026-11-02,ACCIONAR,236.3333333333,1,43
Trelew,28698,STELLA ARTOIS 0.0% OW 4X6 330CC,24,2026-11-04,ACCIONAR,80.5,1,45
Trelew,16225,PATAGONIA AMBER CAN 4X6 473 CART,24,2026-11-22,ACCIONAR,116.25,1,63
Trelew,32489,H2OH S/GAS NARANJA PET X6 500CC,6,2026-11-30,ACCIONAR,255,1,71
Trelew,31354,ANDES ORIGEN RUBIA ORO CAN 4X6 473CC,24,2026-12-28,ACCIONAR,362.3333333333,1,96
Trelew,1413,GATORADE NARANJA * X6 PET 500,6,2027-01-03,ACCIONAR,315,2,105
Trelew,29799,RED BULL FRUTA DEL DRAGON CAN 6X4 250CC,24,2027-01-29,ACCIONAR,283.1666666667,1,131
Trelew,30477,MIRINDA NAR CAN 130 BUL/PAL 4X6 354CC,24,2026-10-09,OK,19.125,1,19
Trelew,15621,PATAGONIA IPA CAN 4X6 473 CART,24,2026-10-10,OK,28.5,1,20
Trelew,18354,PATAGONIA IPA OW X6 730,6,2026-10-10,OK,0.1666666667,1,20
Trelew,44489,STELLA ARTOIS 0.0 SY CAN 4X6 473CC CART,24,2026-10-13,OK,54.75,2,23
Trelew,30974,7UP PET X6 500CC NF 2024,6,2026-10-14,OK,87,1,24
Trelew,28691,BUDWEISER CAN 4X4 710CC,16,2026-10-20,OK,59.5625,1,30
Trelew,29649,STELLA ARTOIS CAN 4X4 710CC,16,2026-10-20,OK,38.3125,1,30
Trelew,24116,PDTOROS PET POM SIN AZUCARES X6 1500CC,6,2026-10-22,OK,7.8333333333,1,32
Trelew,30789,PEPSI BLACK PET X8 2.000CC 2024,8,2026-10-22,OK,0.5,1,32
Trelew,46729,GATORADE NS MORAS PET X6 400CC,6,2026-10-25,OK,199,1,35
Trelew,46587,GATORADE NS FRESA KIWI PET X6 40,6,2026-10-26,OK,40,1,36
